Compliance Status,Building ID,Building Name,Site Address,Site Zip,Year Built,"Floor Area 
(sf)",Primary Property Type ,ENERGY STAR Score,Certified or Verified?,"Site EUI 
(kBtu/sf)","Weather Normalized  Site EUI 
(kBtu/sf)",Source EUI (kBtu/sf),Weather Normalized Source EUI (kBtu/sf),"Electricity Generated from Onsite Renewable Systems 
(kWh)","Total GHG Emissions 
(Metric Tons CO2e)"
Compliant,1N2E15-102-B1,Portland - 028,10280 NE CASCADES PKWY,97220,2007,"280,000",Wholesale Club/Supercenter,76,,59.6,61.3,137.7,139.5,,1295.6
Compliant,1N2E15D-2501-B1,HILTON GARDEN INN PORTLAND AIRPORT,12048 NE AIRPORT WAY,97220,1999,"64,592",Hotel,76,,80.5,81,155.9,156.6,,365.9
Compliant,1N2E23AC-3300-B1,WHITAKER WAY,13650 NE WHITAKER WAY,97230,1999,"20,809",Office,76,,40.5,44.6,76.2,80.5,,58.4
Compliant,1N1E27CA-8700-B3,Maintenance Building,2010 N INTERSTATE AVE,97227,2014,"44,820",Office,75,,54.5,54.9,123.6,123.2,,187.6
Compliant,1N1E33AD-2700-B1,Maddox Building - 1N1E33AD-2700-B1,1231 NW HOYT ST,97209,1906,"38,000",Office,75,,41.6,41.8,103.8,103.4,,128.3
Compliant,1N1E33DC-1800-B1,Morrison Street,1532 SW MORRISON ST,97205 ,1908,"20,873",Office,75,,45.1,45.1,126.1,126.1,,81.9
Compliant,1N1E34CD-4200-B1,George Lawrence Office,306-316 SW 1ST AVE,97204,1902,"48,000",Office,75,,40.1,41.2,98.4,99.6,,154.8
Compliant,1N1E34CD-9500-B4,Historic Caplan Building,500 SW 5TH AVE,97204,1906,"35,000",Office,75,,30.8,30.8,86.2,86.2,,93.9
Compliant,1N1E36B-100-B1,70100600-Hollywood West,3030 NE WEIDLER ST,97232,1990,"201,830",Retail Store,75,,108.3,110.1,243.8,244.9,,1671.2
Compliant,1N2E09C-1200-B1,One Airport Center,7700 NE AMBASSADOR PL,97220,1996,"73,304",Office,75,,63.8,64.3,167.3,167.1,,391.4
Compliant,1S1E03BC-900-B1,Pacwest Center,1211 SW 5TH AVE,97204,1988,"587,540",Office,75,,50.2,50.2,140.6,140.6,,2570.4
Compliant,1N1E34CC-8200-B1,610 Broadway Building,610 SW BROADWAY,97205,1911,"40,356",Office,74,,38,38.5,106.3,107.9,,133.5
Compliant,1S1E03DA-1300-B1,Hawthorne Depot,1510 SE WATER AVE,97214,1911,"34,477",Office,74,,58.6,59.6,132.7,132.9,,155
Compliant,1S1E04AA-1200-B1,Jeffrey Center,1020 SW TAYLOR ST,97205,1926,"99,200",Office,74,,62.1,63.7,132.4,133.4,,456.7
Compliant,1S3E06CC-2901-B8,Store #5358_Division Crossing,16339 SE Division St,97236 ,1997,"28,260",Retail Store,74,,54.4,56.6,130.6,131.5,,122.1
Compliant,1N1E33AB-4500-B1,Marine Building,1732 NW QUIMBY ST,97209,1947,"40,586",Office,73,,48.7,49.1,129.6,130,,166.9
Compliant,1N1E33AB-8500-B1,System Administrative Office 1120,1120 NW 20TH AVE,97209,1974,"40,800",Office,73,,80.9,82.4,166.7,167.1,,240.1
Compliant,1N1E33AD-4300-B1,The Gadsby Building,1306 NW HOYT ST,97209,1907,"50,000",Office,73,,32.2,32.2,90.1,90.1,,140.2
Compliant,1N1E34CD-4100-B1,Failing Building,235 SW 1ST AVE,97204,1890,"23,060",Office,73,,47.8,49.6,99.2,101.1,,80.5
Compliant,1N2E33AA-1200-B1,Oregon Clinic Gateway LLC (EPL),1111 NE 99TH AVE,97220,2007,"101,600",Medical Office,73,,78.6,78.8,194.5,193.7,,645.2
Compliant,1N2E33DD-11400-B1,9828 E Burnside,9810-9850 E BURNSIDE ST,97216,1989,"31,740",Office,73,,51.2,53.1,114.3,116.2,,123.7
Compliant,1S1E01AD-22600-B1,70100135-Hawthorne,3805 SE HAWTHORNE BLVD,97214,1952,"129,481",Supermarket/Grocery Store,73,,129.3,132.6,296.4,299.8,,1293.6
Compliant,1S1E03BB-2200-B1,Pacific Center,851 SW 6TH AVE,97204,1986,"243,652",Office,73,,115.7,117,235.1,235.1,,2035.6
Compliant,1N1E03CB-300-B2,Walmart Supercenter #5899,1123 N HAYDEN MEADOWS DR,97217,2013,"85,900",Wholesale Club/Supercenter,72,,105.1,108.8,233.9,237.8,,685.9
Compliant,1N1E27BB-1700-B1,OR0101 - East Interstate Medical Offices,3550 N INTERSTATE AVE,97227,1979,"100,635",Medical Office,72,,64.5,64.5,180.5,180.5,,565.2
Compliant,1N1E34CD-6900-B1,SHP Portland 1st Natl,401 SW 5TH AVE,97204,1916,"34,345",Office,72,,30.2,30.2,84.6,84.6,,90.4
Compliant,1S1E03BA-5300-B1,Postal Building,502-516 SW 3RD AVE,97204,1900,"38,631",Office,72,,61.8,63.9,110.6,112.1,,161.2
Compliant,Campus-11,Legacy Emanuel Medical Center,2800 N VANCOUVER AVE,97227,1968,"1,419,408",Hospital (General Medical & Surgical),72,,202,203.2,359.5,359.3,,19296
Compliant,1N1E03CA-1300-B1,Cash & Carry,910 N HAYDEN MEADOWS DR,97217,1987,"20,000",Supermarket/Grocery Store,71,,141.4,145.2,323.6,326,,218.3
Compliant,1N1E28DD-400-B1,Fremont Place II,"1650 NW NAITO PKWY, BLDG 304",97209,1987,"65,674",Office,71,,50.5,50.5,138.8,138.8,,285.7
Compliant,1N1E33DD-6200-B2,Terminal Sales Building,1220 SW MORRISON ST,97205,1927,"125,924",Office,71,,64.5,66.7,138.5,141.7,,604.9
Compliant,1N1E34CC-5800-B1,511 Building,505-515 SW 10TH AVE,97205,1956,"137,076",Medical Office,71,,74.4,75.3,162,161.6,,765.2
Compliant,1N1E34CD-6500-B1,CareOregon Building,315 SW 5TH AVE,97204,1988,"99,958",Office,71,,68.2,69.8,163.6,165.2,,540.8
Compliant,1N1E35BB-90000-B1,Lloyd Center Tower,825 NE Multnomah,97232,N/A,"520,146",Office,71,,50.7,50.7,140.5,140.5,,2282.8
Compliant,1N2E17DA-501-B1,78th Court,6035 NE 78TH CT,97218,1986,"39,425",Office,71,,45.4,46.3,99.8,100.2,,135
Compliant,1S1E03BA-5800-B1,MOHAWK BUILDING,708-724 SW 3RD AVE,97204,1902,"69,624",Office,71,,35.9,36.1,98.3,98.5,,214.9
Compliant,1S1E06DB-3200-B1,Westidge Park,5201-5207 SW WESTGATE DR,97221,1973,"40,000",Office,71,,42.4,42.5,118.6,118.9,,147.6
Compliant,1S1E15BD-1200-B1,5550 Macadam,5550 SW MACADAM AVE,97239,1984,"41,749",Office,71,,89,92.7,164.1,166.7,,254.8
Compliant,1S1E29AC-600-B1,Capital Plaza,9320 SW BARBUR BLVD,97219,1981,"74,439",Office,71,,62.5,63.9,128,129.4,,337.3
Compliant,Campus-54,Lloyd Corporate Plaza,847-919 NE 19TH AVE,97232,1995,"121,739",Office,71,,57.3,57.6,137.9,137.4,,554.6
Compliant,1N1E34CC-4500-B1,Hotel Vintage Plaza,422-426 SW BROADWAY,97205,1890,"99,350",Hotel,70,,84.2,84.8,164.2,164.2,,590.7
Compliant,1N1E34CD-6600-B1,Courtyard Portland City Center,550 SW OAK ST,97204,2008,"175,000",Hotel,70,,79.1,80.3,147.8,148.3,,955.6
Compliant,1N1E34CD-8300-B4,O'Rourke and Sons,411-415 SW 2ND AVE,97204,1894,"38,000",Office,70,,46.2,46.5,119.5,119,,145.7
Compliant,1N2E14C-1200-B2,Airport Commerce Center,12518 NE AIRPORT WAY,97230,2008,"48,380",Retail Store,70,,53.9,56.7,100.4,103.3,,179.7
Compliant,1S2E12-101-B1,70100075-Division,14700 SE DIVISION ST,97236,1986,"150,669",Retail Store,70,,112.7,116.3,256.9,258.6,,1307.4
Compliant,1N1E34BB-1302-B1,Ziba Design Headquarters Building,810 NW MARSHALL ST,97209,2009,"71,867",Office,69,,43,43.4,111.4,111.8,,256.7
Compliant,1N2E23CB-10300-B2,Argay Square,4110 NE 122ND AVE,97230,1977,"23,400",Office,69,,38.7,41,108.3,114.7,,78.8
Compliant,1S1E06DB-3900-B1,5440 SW Westgate Dr,5440 SW WESTGATE DR,97221,1986,"51,375",Office,69,,44.6,44.9,122,122.3,,196.7
Compliant,1S1E30DC-4700-B1,Westview Plaza,10725 SW BARBUR BLVD,97219,1984,"27,878",Office,69,,53.8,55.7,111.8,113,,109.6
Compliant,1N1E15CB-4100-B1,1106-Arbor Lodge,6400 N INTERSTATE AVE,97217,2005,"33,210",Supermarket/Grocery Store,68,,214.5,216.9,505.6,508.1,,559.4
Compliant,1N1E16AA-300-B1,OR0261 - NORTH INTERSTATE SERVICES BUILDING,7201 N INTERSTATE AVE,97217,1976,"48,878",Medical Office,68,,67.7,68.2,178.1,178.7,,277.4
Compliant,1N1E34CD-6000-B1,Title & Trust Building,321-325 SW 4TH AVE,97204,1913,"27,500",Office,68,,38,39,89.7,90.8,,82.1
Compliant,1N2E19DA-11500-B1,00575-Cully,5850 NE PRESCOTT ST,97218,1994,"48,754",Supermarket/Grocery Store,68,,179.9,181.9,434.7,435.1,,698.8
Compliant,1S1E03BA-2000-B1,Dayton Building,838-842 SW 1ST AVE,97204,1900,"27,075",Office,68,,48.3,47.8,135.2,133.8,,113.9
Compliant,1S1E03BC-3100-B1,KOIN Tower Office,222 SW COLUMBIA ST,97201,1983,"439,606",Office,68,,45.4,46.4,99.9,101,,1506.5
Compliant,1S1E06CA-3700-B1,1730 Building,1730 SW SKYLINE BLVD,97221 ,1968,"20,301",Office,68,,59.5,62.3,109.6,111.8,,82.7
Compliant,Campus-5,adidas Village West,5055 N GREELEY AVE,97217,1967,"195,302",Office,68,,77.4,79.4,171.4,173.4,,1144.9
Compliant,1N1E34CD-6800-B1,Oregon Trail Building,323-333 SW 5TH AVE,97204,1909,"58,057",Office,67,,45.8,45.8,128.4,128.4,,231.9
Compliant,1N1E34DC-400-B1,Mercy Corps Headquarters,45 SW ANKENY ST,97204,N/A,"78,976",Office,67,,53.5,53.5,149.5,149.5,,367.6
Compliant,1S1E03BA-7500-B1,Hamilton Building,523-529 SW 3RD AVE,97204,1893,"23,209",Office,67,,42,42.2,117.7,118.2,,85
Compliant,1S1E15BA-300-B1,Willamette Wharf,4640 SW MACADAM AVE,97239,1981,"48,771",Office,67,,56.9,56.5,159,158,,241.5
Compliant,1S2E09DB-600-B1,Barlow School Offc Bldg,3700 SE 92ND AVE,97266,2001,"20,000",Office,67,,72.6,76.8,118.5,122.9,,93.6
Compliant,1N1E34CD-7800-B1,Spalding Building,319 SW WASHINGTON ST,97204,1910,"95,260",Office,66,,70.2,73.5,148.6,152,,493.9
Compliant,1N2E26CC-3403-B1,Store #15 - Portland-Halsey,1950 NE 122ND AVE,97230,1989,"105,323",Supermarket/Grocery Store,66,,185.1,189.9,416,417.3,,1489.3
Compliant,1S1E02BB-2400-B1,"PORTLAND - CITIZENS, Site #33106",614 SE GRAND AVE,97214,1912,"23,210",Bank Branch,66,,98.9,102.1,178.4,180.3,,155.5
Compliant,1S1E03CB-200-B1,1881 SW Naito Parkway,1881 SW NAITO PKWY,97201,1922,"39,688",Office,66,,50.7,50.1,138.9,137.2,,173
Compliant,1N1E07B-300-B1,70100255-Peninsula,6850 N LOMBARD ST,97203,1963,"92,575",Supermarket/Grocery Store,65,,139.5,142.7,298.5,301.8,,959.4
Compliant,1N1E27DC-1700-B1,Leftbank Project,222-240 N BROADWAY,97227,1957,"60,257",Office,65,,39.2,39.7,109.7,111.2,,205.7
Compliant,1N1E33AD-4400-B2,The Pearl Building,1313 NW GLISAN ST,97209,1907,"60,000",Office,65,,72.1,72.7,179,179.6,,350.3
Compliant,1N1E34CB-9800-B2,Old Town Recovery Center,33 NW BROADWAY,97209,2011,"43,678",Medical Office,65,,54.9,54.9,149.3,149.4,,205.2
Compliant,1N1E35AD-3500-B1,Butler Building,727 NE 24TH AVE,97232,1947,"27,000",Office,65,,31.4,31.4,87.9,87.9,,73.8
Compliant,1N1E35CC-10800-B2,811 Stark,811 SE STARK ST,97214,2016,"30,607",Office,65,,45,45,124.2,124.2,,118.9
Compliant,1N1E35CC-3900-B2,East Bank Lofts,537 SE ASH ST,97214,1912,"40,000",Office,65,,31.2,31.2,87.3,87.3,,108.7
Compliant,1N1W12AB-4900-B1,Safeway 1951 - N Ivanhoe,8336 WI/ N IVANHOE ST,97203,2004,"56,536",Supermarket/Grocery Store,65,,187.5,189.7,442.5,444.8,,832.9
Compliant,1N2E16-126-B1,Hyatt Place Portland Airport/ Cascade Station,9750 NE CASCADES PKWY,97220,2010,"84,620",Hotel,65,,92.5,93,181.2,181.7,,554
Compliant,1N2E31BD-3500-B1,PSA - Portland Medical Center,4805 NE GLISAN ST,97213,1982,"1,311,527",Hospital (General Medical & Surgical),65,,220.2,221,384.2,383.4,,19238.9
Compliant,1S1E01CB-200-B1,Safeway 3134 - SE Hawthorne,2800-2804 SE HAWTHORNE BLVD,97214,2011,"55,787",Mixed Use Property,65,,221.3,225.4,458.4,461.2,,900.8
Compliant,1S1E03BA-6000-B1,Director Building,808 SW 3RD AVE,97204,1911,"63,780",Office,65,,46,46.1,126.6,126.2,,252.9
Compliant,1S1E11AB-100-B1,1105-Seven Corners,1954 SE DIVISION ST,97202,1965,"31,290",Supermarket/Grocery Store,65,,274.2,278.2,591.5,595.7,,640.4
Compliant,1S1E15BA-200-B1,River's Edge Hotel & Spa,0455 SW HAMILTON CT,97239,2000,"96,022",Hotel,65,,70.5,70.8,153.3,153.6,,507.5
Compliant,1S2E04DD-2000-B1,Columbia East,10011 SE DIVISION ST,97266,1987,"33,867",Office,65,,54.7,55.9,120.6,120.7,,140
Compliant,1S2E16BC-4400-B1,Main,5240 SE 82ND AVE,97266,1970,"50,000",Retail Store,65,,65.9,68.1,140.7,142,,244.5
Compliant,1N1E34CD-7000-B1,McCoy Building,408 SW 5TH AVE,97204,1923,"112,331",Office,64,,81.9,84.4,158.7,160.7,,647.4
Compliant,1N2E34BB-4300-B1,Store #13 - Portland-Gateway,1222 NE 102ND AVE,97220,1989,"66,652",Supermarket/Grocery Store,64,,203.4,205.3,471.5,471.9,,1054.2
Compliant,1S1E03BB-700-B1,Standard Plaza,1100 SW 6TH AVE,97204,1962,"298,040",Office,64,,90.9,93.7,173.6,175,,1891.5
Compliant,1S1E06CA-3900-B1,1750 Building,1750 SW SKYLINE BLVD,97221,1969,"36,553",Office,64,,63.6,66.3,123.6,125.6,,163.9
Compliant,1S2E06BA-10201-B2,Tabor Square,4610 SE BELMONT ST,97215 ,1975,"32,105",Office,64,,43.6,43.8,122,122.8,,121.8
Compliant,2N1E33-100-B11,1104,12435 N STARLIGHT AVE,97217,1997,"42,584",Retail Store,64,,66.9,67.7,172.5,172.2,,235.9
Compliant,Campus-12,Legacy Good Samaritan Medical Center,1015 NW 22ND AVE,97210,1902,"1,000,500",Hospital (General Medical & Surgical),64,,184,185.4,350.2,350.3,,12830.5
Compliant,1N1E03CC-900-B1,Parker Furniture/ Guitar Center,1147 N HAYDEN MEADOWS DR,97217,1993,"22,880",Retail Store,63,,51.9,53,122.6,123,,93.4
Compliant,1N1E35BC-3900-B1,Copeland Building,901 NE GLISAN ST,97232,1978,"28,715",Office,63,,56.1,56.9,154.2,156.1,"10,205",138.8
Compliant,1S1E03BB-4600-B1,Fox Tower,805 SW BROADWAY,97205,2000,"621,473",Office,63,,63,Not Available,176.4,Not Available,,3411.9
Compliant,1S1E15DC-400-B1,River Park Plaza,6500 SW MACADAM AVE,97239,2002,"61,975",Office,63,,49.4,49.4,138.3,138.3,,266.7
Compliant,1S2E10DA-200-B1,382 - 122nd Avenue,3527 SE 122ND AVE,97236,1978,"48,564",Supermarket/Grocery Store,63,,245.6,254.5,515.6,522.9,,876.7
Compliant,1N1E28CC-2500-B2,Silver Cloud Inn,2426 NW VAUGHN ST,97210,1993,"20,350",Hotel,62,,129.1,129.1,260.6,260.6,,189
Compliant,1N1E34DA-400-B1,"301 NE 2nd Ave, Portland, OR",301 NE 2ND AVE,97232,1996,"25,150",Office,62,,48.3,49.6,101.8,102.1,,89.5
Compliant,1N2E15DA-900-B2,MESD Ainsworth Buildling,11611 NE AINSWORTH CIR,97220,1990,"61,500",Office,62,,58.5,59.6,138.7,139.9,,283.6
Compliant,1N2E30CC-5000-B1,Hollywood Square,4300-4316 NE HANCOCK ST,97213,1937,"28,691",Office,62,,53.6,55.1,123.1,124.7,,119
Compliant,1S1E02CB-7700-B1,Portland,1943 SE 6TH AVE,97214,1994,"29,563",Retail Store,62,,105.7,108.2,252.6,255.2,,247.3
Compliant,1S1E10AC-308-B1,OHSU Center for Health and Healing,3303 SW BOND AVE,97239,2005,"408,219",Medical Office,62,,166.5,168,291.7,291.4,"10,603",4536.1
Compliant,1S2E18CC-300-B3,1117-Woodstock,4500-4560 SE WOODSTOCK BLVD,97206 ,2015,"25,090",Supermarket/Grocery Store,62,,276,280.9,558.7,562,,498.9
Compliant,2N1E33A-702-B1,NW Rugs - Jantzen Beach,2100 WI/ N HAYDEN IS DR,97217,2004,"37,576",Retail Store,62,,35.6,37.7,63.3,65.2,,89.9
Compliant,1N1E34CC-2800-B1,The Reserve,915 SW STARK ST,97205,1950,"65,728",Office,61,,104.8,106.9,225.5,227.7,,513.4
Compliant,1N1E35AD-2300-B1,Oregon Plaza,825 NE 20TH AVE,97232,N/A,"32,708",Office,61,,45.3,46,127,128.9,,129.2
Compliant,1N2E15CA-100-B1,Super 8 Portland Airport,11011 NE HOLMAN ST,97220,1985,"32,784",Hotel,61,,42.3,42,82.9,82.5,,98.2
Compliant,1N2E29DD-10900-B1,Banfield Plaza,7931 NE HALSEY ST,97213,1980,"37,088",Office,61,,49.1,49.9,131.4,134,"36,973",147.7
Compliant,1N2E35BB-701-B3,OR-AHPL-1350 NE 122nd Ave,12250 NE HALSEY ST,97230,2013,"23,027",Medical Office,61,,53.2,53.2,145.1,145.1,,105
Compliant,1S1E03CC-800-B1,University Place Hotel,310 SW LINCOLN ST,97201,1970,"138,124",Hotel,61,,71.1,72.5,161.6,164.4,,755.1
Compliant,1S1E10-400-B1,3030 Moody Building,3030 SW MOODY AVE,97201,1929,"42,683",Office,61,,90.1,91.2,219.6,220.7,,308
Compliant,1S2E04A-1508-B5,#4013 E PORTLAND MALL,9900 SE WASHINGTON ST,97216,2012,"113,782",Retail Store,61,,75.6,78.7,155.1,158.3,,624.3
Compliant,1S3E07CD-2200-B1,Bi-Mart #629,17108 SE POWELL BLVD,97236 ,1982,"30,000",Retail Store,61,,52.3,54.6,130.1,132.5,,127.2
Compliant,1N1E35BB-2600-B1,Lloyd 700,700 NE MULTNOMAH ST,97232,1971,"278,802",Office,60,,83,85.8,175.1,178,,1706.1
Compliant,1N2E15DA-1300-B1,Airport Plaza,5933 NE WIN SIVERS DR,97220,1998,"43,045",Office,60,,62.8,63,172.3,172.5,,232.5
Compliant,1N2E31BD-3700-B2,PSA - Providence Professional Plaza,5050 NE HOYT ST,97213 ,1982 ,"267,447",Medical Office,60,,130.1,131.1,245.6,245.4,,2415.1
Compliant,1S1E11CB-7700-B1,Ross Island Plaza,3880 SE 8TH AVE,97202,1969,"32,854",Office,60,,46.3,46.3,129.6,129.6,,132.5
Compliant,1N1E03C-500-B1,Meadows Square,1170-1210 N HAYDEN MEADOWS DR,97217,1987,"38,620",Retail Store,59,,47.5,48.8,105.2,105.6,,139
Compliant,1N1E35CC-1700-B1,bSIDE6,524 E BURNSIDE ST,97214,2008,"27,500",Office,59,,47.3,47.6,127.7,128,,110.8
Compliant,1S124DB01000-B1,Lamb's Thriftway,7215 SW GARDEN HOME RD,97223,N/A,"49,000",Supermarket/Grocery Store,59,,224.9,232,491.9,499.4,,828.9
Compliant,Campus-7,Medical Dental Building,821-837 SW 11TH AVE,97205,1928,"78,148",Office,59,,72.4,73.9,160.4,160.3,,428.6
Compliant,1N1E25CD-3900-B1,70500207 -- Grant Park,1835 NE 33RD AVE,97212,1973,"22,487",Supermarket/Grocery Store,58,,264,267.3,571.3,574.7,,443.9
Compliant,1S1E03BB-200-B1,Standard Center,900 SW 5TH AVE,97204,1968,"536,000",Office,58,,79.1,80.9,169.8,171,,3155.1
Compliant,1N1E03BB-1402-B1,Courtyard Portland North Harbour,1231 N ANCHOR WAY,97217,1999,"70,403",Hotel,57,,115,115,205.5,205.5,,545.8
Compliant,1N1E33DC-5200-B1,Lincoln Place,1620 SW TAYLOR ST,97205,1922,"57,017",Office,57,,80.7,81.6,182,182.1,,352
Compliant,1N2E16-128-B1,Cascade Station II,9500 NE CASCADES PKWY,97220,2008 ,"34,029",Office,57,,39.6,39.6,110.6,110.6,,117.3
Compliant,1S1E12DA-3500-B1,1627 - 39th & Powell,3940 SE POWELL BLVD,97202,2000,"47,248",Supermarket/Grocery Store,57,,273,280.1,556.1,562,,932.5
Compliant,1N1E14CC-1800-B1,509 - MLK,5920 WI/ NE M L KING BLVD,97211,N/A,"39,064",Supermarket/Grocery Store,56,,282.6,289.1,581.6,588.4,,802.7
Compliant,1N1E35BB-2400-B1,OR0491 - KAISER PERMANENTE BUILDING,500 NE MULTNOMAH ST,97232,1974,"323,130",Medical Office,56,,129.3,132.9,229.7,232,,2809.3
Compliant,1N1E35DB-100-B1,Jantzen,1805 NE SANDY BLVD,97232,1961,"73,189",Office,56,,78,80,159.3,161.4,,413.2
Compliant,1S1E02BB-6100-B2,The Weatherly Building,510 SE MORRISON ST,97214,1928,"68,945",Office,56,,68.7,70,172.5,173.5,,386
Compliant,1S1E03CB-3500-B1,Urban Center Building w/Retail,510 SW MILL ST,97201,1999,"138,276",Office,56,,72.2,73.3,151.9,152.1,,734.8
Compliant,1N2E15AC-300-B1,#4004 NE PORTLAND,11633 NE GLENN WIDING DR,97220,2002,"101,830",Retail Store,55,,86.1,88.9,180,182,,643
Compliant,1S1E03BB-70000-B1A,Nines Portland,525 SW MORRISON ST,97204,1909,"380,902",Hotel,55,,85.4,85.4,170.7,169.4,,2327.3
Compliant,1S1E03CB-300-B1,2000 SW First Building,2000 SW 1ST AVE,97201,1965,"55,056",Office,55,,70.4,71.6,146.1,147.4,,283
Compliant,1S2E03BB-700-B1,205 Plaza,10560-10588 SE WASHINGTON ST,97216,1975,"34,010",Office,55,,49.7,50.3,138.5,140.2,,146.8
Compliant,Campus-50,Second and Taylor,110 SW YAMHILL ST,97204,1986,"73,757",Office,55,,86.4,87.3,166.2,166.4,,446.7
Compliant,1N1E26CD-12700-B1,Safeway 1612 - NE Broadway,1100 NE BROADWAY,97232,1999,"55,787",Supermarket/Grocery Store,54,,242.5,245.1,509.8,510.9,,995.3
Compliant,1N1E33AA-3700-B1,Lovejoy Block 1,1331 NW LOVEJOY ST,97209,N/A,"84,014",Office,54,,71,71,191.5,191.5,,507.8
Compliant,1N1E33AC-5800-B1,Futures Real Estate LLC,1849 NW KEARNEY ST,97209,1991,"27,466",Medical Office,54,,54.7,54.7,153.3,153.3,,131
Compliant,1N1E34CB-11100-B1,Dr. Martens Airwair,10 NW 10TH AVE,97209,1912,"30,770",Office,54,,52.8,52.6,147.8,147.4,,141.5
Compliant,1N1E34CB-8300-B1,Graphic Arts Building,120 NW 9TH AVE,97209,1950,"35,940",Office,54,,84.6,86.3,165.4,167.1,,215
Compliant,1N2E33DA-600-B1,Multnomah Plaza,305 NE 102ND AVE,97220,1988,"49,366",Office,54,,54.8,55,148.9,149.1,,231.3
Compliant,1S1E03BA-5500-B1,Willamette Building,532-538 SW 3RD AVE,97204,1913,"34,000",Office,54,,72.9,75.6,156.2,158.3,,184.3
Compliant,1S1E03BD-2900-B1,33709-Portland Downtown Marriott,1401 SW NAITO PKWY,97201,1978,"425,000",Hotel,54,,76.2,76.2,161,161,,2388.8
Compliant,1S1E18AB-9400-B2,00505-Shattuck,5415 SW BEAVERTON HILLSDALE HWY,97221,1961,"37,547",Supermarket/Grocery Store,54,,231.6,233.8,524.9,525.9,,667.5
Compliant,1S1E29BC-4000-B1,Capitol Park Building,9700 SW CAPITOL HWY,97219,1984,"29,363",Office,54,,63.1,64.6,144.1,145.7,,142.8
Compliant,1N1E07AC-14300-B4,1118-University Park,6300 N LOMBARD ST,97203,2016,"25,000",Supermarket/Grocery Store,53,,349.1,352.7,636,638,,594.4
Compliant,1N1E25DD-14200-B1,"3701 Investors, LLC",3701-3719 NE SANDY BLVD,97232,1926,"22,000",Retail Store,53,,50.8,52.6,110.2,112,,83.7
Compliant,1N1E29AB-100-B1,3330 Yeon,3330 NW YEON AVE,97210,1980,"20,612",Office,53,,54.3,54.3,152.1,152.1,,97.5
Compliant,1N1E34CC-4300-B1,Commonwealth Building,401-421 SW 6TH AVE,97204,1948,"224,122",Office,53,,99.3,100.6,209.3,209.4,,1640
Compliant,1N2E33DD-5700-B2,"Mor Furniture For Less, INC.",10015 SE STARK ST,97216,1998,"25,495",Retail Store,53,,64,63.3,128.2,126.1,,116.9
Compliant,1S1E03BB-5900-B1,Portland Paramount Hotel,808 SW TAYLOR ST,97205,1999,"97,624",Hotel,52,,82.1,82.8,169.3,170.3,,583.4
Compliant,1S2E09CC-101-B1,Walmart Supercenter #01-2552,4200 SE 82ND AVE,97266,1997,"135,099",Wholesale Club/Supercenter,52,,104,106.7,239.7,242.4,,1088.9
Compliant,1N2E27CC-4500-B1,Calista Medical Plaza,10373 NE HANCOCK ST,97220,1985,"27,273",Medical Office,51,,86.2,88.9,154,156,,158.5
Compliant,Campus-8,Wells Fargo Center,1300 SW 5TH AVE,97201,1970,"745,294",Office,51,,79.1,79.1,221.5,221.5,,5136.4
Compliant,1N1E34CC-8900-B2,Dossier Hotel,750 SW ALDER ST,97205,1999,"144,064",Hotel,50,,106,108,192.2,194.4,,1037.6
Compliant,1N1E34CD-3700-B1,Police Block,209 SW OAK ST,97204,1912,"43,399",Office,50,,106.3,107.6,212.6,211.4,,330.3
Compliant,1N2E09C-1201-B1,141-Portland Embassy Suites,7900 NE 82ND AVE,97220,1999,"236,870",Hotel,50,,107.6,109.1,189.1,189.8,,1704.3
Compliant,1S1E03CB-100-B1,Harrison Square,1800 SW 1ST AVE,97201,1975,"188,824",Office,50,,78.8,78.8,220.6,220.6,,1296.2
Compliant,1S1E03DA-1800-B2,Clay Pavilion,120 SE CLAY ST,97214,2017,"118,514",Office,50,,72,72.5,186.5,187,,708.9
Compliant,1S1E10BB-800-B2,2501 SW 1st Avenue,2501 SW 1ST AVE,97201,1966,"74,655",Office,50,,80.5,83.9,166.2,169.8,,437.7
Compliant,1N1E34CA-5800-B1,Mason Ehrman,234 NW 5TH AVE,97209,1908,"68,485",Office,49,,57.6,57.9,157.3,157.6,,338.3
Compliant,1N1E09AC-1300-B1,Ferguson 3999,2250-2344 N COLUMBIA BLVD,97217,2000,"22,337",Office,48,,81.8,83.8,170.1,171.6,,133.6
Compliant,1N1E34CD-2800-B1,ES Portland Downtown,319 SW PINE ST,97204,1910,"315,907",Hotel,48,,91.8,93.6,176.9,178.1,,2035
Compliant,1N2E22BD-600-B1,Sandy,11035 NE SANDY BLVD,97220,1979,"22,400",Office,48,,58.6,58.6,164.1,164.1,,114.4
Compliant,1S1E04AA-1000-B1,1121 SW Salmon,1121 SW SALMON ST,97205,1960,"46,050",Office,48,,89.7,91,193.3,193.6,,308.1
Compliant,1S1E15BD-1300-B1,Harbor Square SW,5410 SW MACADAM AVE,97239,1981,"20,720",Office,48,,53.5,53.5,149.8,149.8,,96.6
Compliant,1S1E21AD-2500-B1,Barbur,7365-7375 SW BARBUR BLVD,97219,1963,"31,856",Retail Store,48,,48.2,49.4,111.2,111.5,,119.1
Compliant,1N1E35AC-1200-B1,1500 Plaza,1500 NE IRVING ST,97232,1965,"82,971",Office,47,,123,127.1,221.5,225.8,,690.9
